101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
109,109
111,111
112,112
114,114
115,115
201,201
202,202
203,203
204,204
207,207
208,208
210,210
301,301
302,302
303,303
304,304
305,305
306,306
307,307
308,308
309,309
310,310
401,401
402,402
404,404
405,405
406,406
501,501
502,502
503,503
504,504
506,506
507,507
509,509
601,601
603,603
604,604
605,605
607,607
608,608
701,701
702,702
703,703
705,705
706,706
707,707
708,708
709,709
801,801
801b,801b
802,802
803,803
804,804
804h,804h
805,805
806,806
807,807
808,808
809,809
810,810
