centuryfirestation,#9centuryfirestat
chokee,#1chokee
cjc,#3cjc
firstbaptist,#6firstbaptist
friendshipbapt,#5friendshipbapt.
leesburg,#4leesburg
redbone,#10redbone
sdachurch,#7sdachurch
smithville,#2smithville
sovereigngrace,#8sovereigngrace
