chauncey,chaun
clark,clark
eddin,eddin
empire,empir
jaybird,jaybi
jones,jones
lee,lee
mccranie,mccra
milan,milan
mitchell,mitch
mullis,mulli
plainfield,plain
pondtown,pondt
rawlins,rawli
vilula,vilul
yonker,yonke
